16:46:24 | INFO | SERVER | sala nyx2ioswj5 eliminada por estar vacia y sin contenido.
16:46:38 | INFO | SERVER | sala nyx2ioswj5 eliminada por estar vacia y sin contenido.
16:47:27 | INFO | SERVER | sala nyx2ioswj5 eliminada por estar vacia y sin contenido.
16:49:21 | DEBUG | DATABASE | Conexion a DB establecida
16:49:26 | DEBUG | DATABASE | Conexion a DB establecida
16:49:35 | DEBUG | DATABASE | Conexion a DB establecida
16:49:38 | DEBUG | DATABASE | Conexion a DB establecida
16:49:40 | DEBUG | DATABASE | Conexion a DB establecida
16:51:06 | DEBUG | DATABASE | Conexion a DB establecida
16:51:31 | DEBUG | DATABASE | Conexion a DB establecida
16:51:34 | DEBUG | DATABASE | Conexion a DB establecida
16:51:36 | DEBUG | DATABASE | Conexion a DB establecida
16:51:48 | DEBUG | DATABASE | Conexion a DB establecida
16:51:51 | DEBUG | DATABASE | Conexion a DB establecida
16:52:54 | DEBUG | DATABASE | Conexion a DB establecida
16:53:10 | DEBUG | DATABASE | Conexion a DB establecida
16:53:12 | DEBUG | DATABASE | Conexion a DB establecida
16:53:23 | DEBUG | DATABASE | Conexion a DB establecida
16:53:24 | DEBUG | DATABASE | Conexion a DB establecida
16:53:26 | DEBUG | DATABASE | Conexion a DB establecida
16:54:43 | DEBUG | DATABASE | Conexion a DB establecida
16:54:45 | DEBUG | DATABASE | Conexion a DB establecida
16:54:48 | DEBUG | DATABASE | Conexion a DB establecida
16:54:53 | DEBUG | DATABASE | Conexion a DB establecida
